class_index,class,accuracy,samples
0,apple,0.9900000095367432,100
1,aquarium fish,0.3400000035762787,100
2,baby,0.8600000143051147,100
3,bear,0.4300000071525574,100
4,beaver,0.019999999552965164,100
5,bed,0.8199999928474426,100
6,bee,0.019999999552965164,100
7,beetle,0.0,100
8,bicycle,0.8899999856948853,100
9,bottle,0.9200000166893005,100
10,bowl,0.3400000035762787,100
11,boy,0.5799999833106995,100
12,bridge,0.7799999713897705,100
13,bus,0.5299999713897705,100
14,butterfly,0.10999999940395355,100
15,camel,0.20999999344348907,100
16,can,0.0,100
17,castle,0.550000011920929,100
18,caterpillar,0.019999999552965164,100
19,cattle,0.8100000023841858,100
20,chair,0.9399999976158142,100
21,chimpanzee,0.27000001072883606,100
22,clock,0.8600000143051147,100
23,cloud,0.8299999833106995,100
24,cockroach,0.029999999329447746,100
25,couch,0.6700000166893005,100
26,crab,0.41999998688697815,100
27,crocodile,0.0,100
28,cup,0.3100000023841858,100
29,dinosaur,0.009999999776482582,100
30,dolphin,0.10000000149011612,100
31,elephant,0.6700000166893005,100
32,flatfish,0.0,100
33,forest,0.49000000953674316,100
34,fox,0.009999999776482582,100
35,girl,0.4300000071525574,100
36,hamster,0.7799999713897705,100
37,house,0.8100000023841858,100
38,kangaroo,0.0,100
39,keyboard,0.8999999761581421,100
40,lamp,0.6399999856948853,100
41,lawn mower,0.44999998807907104,100
42,leopard,0.07000000029802322,100
43,lion,0.3100000023841858,100
44,lizard,0.0,100
45,lobster,0.029999999329447746,100
46,man,0.2800000011920929,100
47,maple tree,0.2199999988079071,100
48,motorcycle,0.9399999976158142,100
49,mountain,0.7400000095367432,100
50,mouse,0.14000000059604645,100
51,mushroom,0.03999999910593033,100
52,oak tree,0.0,100
53,orange,0.8999999761581421,100
54,orchid,0.3100000023841858,100
55,otter,0.019999999552965164,100
56,palm tree,0.9599999785423279,100
57,pear,0.20000000298023224,100
58,pickup truck,0.9300000071525574,100
59,pine tree,0.5899999737739563,100
60,plain,0.0,100
61,plate,0.009999999776482582,100
62,poppy,0.009999999776482582,100
63,porcupine,0.0,100
64,possum,0.0,100
65,rabbit,0.029999999329447746,100
66,raccoon,0.019999999552965164,100
67,ray,0.0,100
68,road,0.9200000166893005,100
69,rocket,0.23999999463558197,100
70,rose,0.8999999761581421,100
71,sea,0.7400000095367432,100
72,seal,0.0,100
73,shark,0.36000001430511475,100
74,shrew,0.0,100
75,skunk,0.4300000071525574,100
76,skyscraper,0.5099999904632568,100
77,snail,0.009999999776482582,100
78,snake,0.07999999821186066,100
79,spider,0.05000000074505806,100
80,squirrel,0.38999998569488525,100
81,streetcar,0.4399999976158142,100
82,sunflower,0.9300000071525574,100
83,sweet pepper,0.30000001192092896,100
84,table,0.30000001192092896,100
85,tank,0.0,100
86,telephone,0.44999998807907104,100
87,television,0.6899999976158142,100
88,tiger,0.029999999329447746,100
89,tractor,0.949999988079071,100
90,train,0.699999988079071,100
91,trout,0.05000000074505806,100
92,tulip,0.029999999329447746,100
93,turtle,0.2800000011920929,100
94,wardrobe,0.14000000059604645,100
95,whale,0.0,100
96,willow tree,0.029999999329447746,100
97,wolf,0.2800000011920929,100
98,woman,0.6700000166893005,100
99,worm,0.0,100
