model,seed,direction,query_id,positive_id,positive_rank,all_positive_ids,all_positive_ranks,top10_retrieved_ids,partition
c4_seed_44,44,i2t,67,67::caption_2,1,"[""67::caption_0"", ""67::caption_1"", ""67::caption_2"", ""67::caption_3"", ""67::caption_4""]","[8, 31, 1, 3, 10]","[""67::caption_2"", ""30632::caption_3"", ""67::caption_3"", ""6542::caption_4"", ""30310::caption_1"", ""30632::caption_1"", ""22326::caption_1"", ""67::caption_0"", ""511::caption_1"", ""67::caption_4""]",rank_1
c4_seed_44,44,i2t,99,99::caption_3,2,"[""99::caption_0"", ""99::caption_1"", ""99::caption_2"", ""99::caption_3"", ""99::caption_4""]","[27, 62, 12, 2, 4]","[""22295::caption_2"", ""99::caption_3"", ""816::caption_2"", ""99::caption_4"", ""816::caption_1"", ""22295::caption_4"", ""24106::caption_4"", ""24106::caption_2"", ""24106::caption_0"", ""24106::caption_3""]",rank_2_10
c4_seed_44,44,i2t,100,100::caption_0,1,"[""100::caption_0"", ""100::caption_1"", ""100::caption_2"", ""100::caption_3"", ""100::caption_4""]","[1, 2, 194, 50, 126]","[""100::caption_0"", ""100::caption_1"", ""27543::caption_2"", ""12004::caption_0"", ""18127::caption_4"", ""25363::caption_0"", ""21308::caption_4"", ""20478::caption_2"", ""462::caption_1"", ""18692::caption_4""]",rank_1
c4_seed_44,44,i2t,109,109::caption_2,1,"[""109::caption_0"", ""109::caption_1"", ""109::caption_2"", ""109::caption_3"", ""109::caption_4""]","[2, 3, 1, 10, 8]","[""109::caption_2"", ""109::caption_0"", ""109::caption_1"", ""28410::caption_4"", ""25762::caption_0"", ""17309::caption_2"", ""17892::caption_0"", ""109::caption_4"", ""17309::caption_4"", ""109::caption_3""]",rank_1
c4_seed_44,44,i2t,118,118::caption_2,2,"[""118::caption_0"", ""118::caption_1"", ""118::caption_2"", ""118::caption_3"", ""118::caption_4""]","[6, 4, 2, 14, 8]","[""3756::caption_4"", ""118::caption_2"", ""28286::caption_0"", ""118::caption_1"", ""3756::caption_0"", ""118::caption_0"", ""24905::caption_0"", ""118::caption_4"", ""3756::caption_2"", ""24905::caption_4""]",rank_2_10
c4_seed_44,44,i2t,161,161::caption_0,1,"[""161::caption_0"", ""161::caption_1"", ""161::caption_2"", ""161::caption_3"", ""161::caption_4""]","[1, 48, 2, 3, 18]","[""161::caption_0"", ""161::caption_2"", ""161::caption_3"", ""27381::caption_2"", ""5304::caption_0"", ""27381::caption_1"", ""5304::caption_1"", ""25208::caption_0"", ""25208::caption_1"", ""3434::caption_2""]",rank_1
c4_seed_44,44,i2t,170,170::caption_1,1,"[""170::caption_0"", ""170::caption_1"", ""170::caption_2"", ""170::caption_3"", ""170::caption_4""]","[3, 1, 5, 16, 2]","[""170::caption_1"", ""170::caption_4"", ""170::caption_0"", ""3425::caption_0"", ""170::caption_2"", ""29637::caption_0"", ""29637::caption_3"", ""29637::caption_2"", ""26253::caption_1"", ""29637::caption_4""]",rank_1
c4_seed_44,44,i2t,200,200::caption_3,1,"[""200::caption_0"", ""200::caption_1"", ""200::caption_2"", ""200::caption_3"", ""200::caption_4""]","[12, 2, 4, 1, 3]","[""200::caption_3"", ""200::caption_1"", ""200::caption_4"", ""200::caption_2"", ""8405::caption_2"", ""7414::caption_3"", ""8405::caption_4"", ""7414::caption_2"", ""7414::caption_1"", ""7414::caption_4""]",rank_1
c4_seed_44,44,i2t,203,203::caption_2,1,"[""203::caption_0"", ""203::caption_1"", ""203::caption_2"", ""203::caption_3"", ""203::caption_4""]","[2, 3, 1, 4, 9]","[""203::caption_2"", ""203::caption_0"", ""203::caption_1"", ""203::caption_3"", ""10321::caption_0"", ""10321::caption_1"", ""16353::caption_0"", ""16353::caption_3"", ""203::caption_4"", ""6063::caption_0""]",rank_1
c4_seed_44,44,i2t,257,257::caption_4,1,"[""257::caption_0"", ""257::caption_1"", ""257::caption_2"", ""257::caption_3"", ""257::caption_4""]","[2, 7, 4, 6, 1]","[""257::caption_4"", ""257::caption_0"", ""15889::caption_2"", ""257::caption_2"", ""15889::caption_3"", ""257::caption_3"", ""257::caption_1"", ""1616::caption_2"", ""13265::caption_0"", ""21179::caption_0""]",rank_1
c4_seed_44,44,i2t,280,280::caption_3,1,"[""280::caption_0"", ""280::caption_1"", ""280::caption_2"", ""280::caption_3"", ""280::caption_4""]","[4, 2, 27, 1, 7]","[""280::caption_3"", ""280::caption_1"", ""4616::caption_1"", ""280::caption_0"", ""4616::caption_0"", ""4280::caption_4"", ""280::caption_4"", ""1516::caption_4"", ""4280::caption_3"", ""4616::caption_2""]",rank_1
c4_seed_44,44,i2t,282,282::caption_0,2,"[""282::caption_0"", ""282::caption_1"", ""282::caption_2"", ""282::caption_3"", ""282::caption_4""]","[2, 8, 55, 66, 156]","[""13671::caption_4"", ""282::caption_0"", ""13671::caption_0"", ""21612::caption_3"", ""13671::caption_2"", ""15129::caption_1"", ""13788::caption_3"", ""282::caption_1"", ""15851::caption_4"", ""25942::caption_2""]",rank_2_10
