model,seed,direction,query_id,positive_id,positive_rank,all_positive_ids,all_positive_ranks,top10_retrieved_ids,partition
c4_seed_43,43,i2t,67,67::caption_2,1,"[""67::caption_0"", ""67::caption_1"", ""67::caption_2"", ""67::caption_3"", ""67::caption_4""]","[5, 18, 1, 2, 22]","[""67::caption_2"", ""67::caption_3"", ""3836::caption_1"", ""30632::caption_3"", ""67::caption_0"", ""18576::caption_3"", ""17892::caption_2"", ""22326::caption_4"", ""17892::caption_4"", ""22859::caption_1""]",rank_1
c4_seed_43,43,i2t,99,99::caption_3,2,"[""99::caption_0"", ""99::caption_1"", ""99::caption_2"", ""99::caption_3"", ""99::caption_4""]","[4, 19, 8, 2, 11]","[""22295::caption_2"", ""99::caption_3"", ""22295::caption_4"", ""99::caption_0"", ""9858::caption_0"", ""22295::caption_3"", ""22295::caption_1"", ""99::caption_2"", ""9496::caption_2"", ""816::caption_1""]",rank_2_10
c4_seed_43,43,i2t,100,100::caption_1,12,"[""100::caption_0"", ""100::caption_1"", ""100::caption_2"", ""100::caption_3"", ""100::caption_4""]","[22, 12, 157, 149, 204]","[""18127::caption_4"", ""12004::caption_0"", ""15547::caption_4"", ""20478::caption_2"", ""25363::caption_0"", ""25363::caption_1"", ""12004::caption_4"", ""14059::caption_0"", ""26791::caption_0"", ""23151::caption_1""]",outside_top_10
c4_seed_43,43,i2t,109,109::caption_1,1,"[""109::caption_0"", ""109::caption_1"", ""109::caption_2"", ""109::caption_3"", ""109::caption_4""]","[6, 1, 2, 9, 15]","[""109::caption_1"", ""109::caption_2"", ""18760::caption_1"", ""25194::caption_4"", ""14430::caption_0"", ""109::caption_0"", ""12895::caption_2"", ""28410::caption_4"", ""109::caption_3"", ""27362::caption_3""]",rank_1
c4_seed_43,43,i2t,118,118::caption_1,1,"[""118::caption_0"", ""118::caption_1"", ""118::caption_2"", ""118::caption_3"", ""118::caption_4""]","[5, 1, 4, 15, 11]","[""118::caption_1"", ""3756::caption_4"", ""3756::caption_0"", ""118::caption_2"", ""118::caption_0"", ""6110::caption_1"", ""3756::caption_3"", ""6110::caption_3"", ""28286::caption_0"", ""3756::caption_2""]",rank_1
c4_seed_43,43,i2t,161,161::caption_0,2,"[""161::caption_0"", ""161::caption_1"", ""161::caption_2"", ""161::caption_3"", ""161::caption_4""]","[2, 51, 4, 3, 16]","[""23945::caption_2"", ""161::caption_0"", ""161::caption_3"", ""161::caption_2"", ""5304::caption_1"", ""24314::caption_1"", ""27381::caption_1"", ""27381::caption_2"", ""5304::caption_0"", ""16811::caption_3""]",rank_2_10
c4_seed_43,43,i2t,170,170::caption_1,1,"[""170::caption_0"", ""170::caption_1"", ""170::caption_2"", ""170::caption_3"", ""170::caption_4""]","[2, 1, 3, 19, 4]","[""170::caption_1"", ""170::caption_0"", ""170::caption_2"", ""170::caption_4"", ""3425::caption_0"", ""29637::caption_0"", ""29637::caption_2"", ""29637::caption_4"", ""26253::caption_1"", ""29637::caption_3""]",rank_1
c4_seed_43,43,i2t,200,200::caption_1,1,"[""200::caption_0"", ""200::caption_1"", ""200::caption_2"", ""200::caption_3"", ""200::caption_4""]","[9, 1, 3, 2, 4]","[""200::caption_1"", ""200::caption_3"", ""200::caption_2"", ""200::caption_4"", ""7414::caption_1"", ""7414::caption_4"", ""7414::caption_3"", ""7414::caption_2"", ""200::caption_0"", ""8405::caption_0""]",rank_1
c4_seed_43,43,i2t,203,203::caption_2,1,"[""203::caption_0"", ""203::caption_1"", ""203::caption_2"", ""203::caption_3"", ""203::caption_4""]","[2, 3, 1, 6, 4]","[""203::caption_2"", ""203::caption_0"", ""203::caption_1"", ""203::caption_4"", ""10321::caption_0"", ""203::caption_3"", ""10321::caption_1"", ""30810::caption_4"", ""1351::caption_2"", ""22187::caption_1""]",rank_1
c4_seed_43,43,i2t,257,257::caption_4,1,"[""257::caption_0"", ""257::caption_1"", ""257::caption_2"", ""257::caption_3"", ""257::caption_4""]","[7, 5, 2, 8, 1]","[""257::caption_4"", ""257::caption_2"", ""14743::caption_4"", ""15889::caption_2"", ""257::caption_1"", ""20495::caption_0"", ""257::caption_0"", ""257::caption_3"", ""27558::caption_3"", ""18916::caption_1""]",rank_1
c4_seed_43,43,i2t,280,280::caption_3,1,"[""280::caption_0"", ""280::caption_1"", ""280::caption_2"", ""280::caption_3"", ""280::caption_4""]","[5, 6, 18, 1, 2]","[""280::caption_3"", ""280::caption_4"", ""4280::caption_3"", ""4280::caption_4"", ""280::caption_0"", ""280::caption_1"", ""1746::caption_1"", ""4616::caption_0"", ""30479::caption_2"", ""4616::caption_1""]",rank_1
c4_seed_43,43,i2t,282,282::caption_0,2,"[""282::caption_0"", ""282::caption_1"", ""282::caption_2"", ""282::caption_3"", ""282::caption_4""]","[2, 6, 19, 15, 95]","[""13671::caption_4"", ""282::caption_0"", ""13671::caption_0"", ""13671::caption_2"", ""21612::caption_3"", ""282::caption_1"", ""15851::caption_4"", ""15851::caption_2"", ""15129::caption_1"", ""22859::caption_3""]",rank_2_10
c4_seed_43,43,i2t,293,293::caption_2,1,"[""293::caption_0"", ""293::caption_1"", ""293::caption_2"", ""293::caption_3"", ""293::caption_4""]","[22, 3, 1, 2, 4]","[""293::caption_2"", ""293::caption_3"", ""293::caption_1"", ""293::caption_4"", ""9734::caption_1"", ""9734::caption_0"", ""14247::caption_0"", ""1145::caption_0"", ""30385::caption_2"", ""13447::caption_0""]",rank_1
